Year,Geno,Row,Plant,WR,Root,Ratio,ai2,bi2,ao,bo,MajorD,MinorD,MajorThicc2,MinorThicc2,K,BL,UL,MOI,E_MPa,E_GPa,MOI_AH,E_GPa_AH,MajorD_AH,MajorD_cm,MinorD_AH,MajorT_AH,MinorT_AH
2019,A632,1282,8,BWR,1,0.708543,0.019,0.074,1.009,2.576,5.152,2.018,2.502,0.99,218.18114,14.58835,15.12836,2.078304791,10745.17504,10.74517504,2.078304791,10.74517504,5.152,0.5152,2.018,2.502,0.99
2019,A632,1321,1,BWR,1,0.572893,1.41,2.05,2.735,3.3,6.6,5.47,1.25,1.325,202.51006,20.59314,24.77087,53.02440614,390.9095818,0.390909582,53.02440614,0.390909582,6.6,0.66,5.47,1.25,1.325
2019,A632,1321,4,BWR,2,0.349428,1.188,1.602,2.37,2.748,5.496,4.74,1.146,1.182,318.21936,14.07814,38.74653,28.73105991,1133.653875,1.133653875,28.73105991,1.133653875,5.496,0.5496,4.74,1.146,1.182
2019,A632,1321,5,BWR,1,0.592723,0.944,1.545,2.16,2.929,5.858,4.32,1.384,1.216,137.5726,4.00778,15.83545,23.18304651,607.3890601,0.60738906,23.18304651,0.60738906,5.858,0.5858,4.32,1.384,1.216
2019,A632,1321,5,BWR,2,0.592723,1.554,2.449,2.741,3.693,7.386,5.482,1.244,1.187,135.7,17.65853,20.02574,59.73052,232.5354009,0.232535401,59.73052,0.232535401,7.386,0.7386,5.482,1.244,1.187
2019,A632,1321,6,BWR,2,0.76621,1.681,1.898,3.127,3.112,6.224,6.254,1.214,1.446,299.37834,16.04752,28.92044,74.73311993,410.027315,0.410027315,74.73311993,0.410027315,6.224,0.6224,6.254,1.214,1.446
2019,A632,1321,8,BWR,1,0.629604,0.194,1.472,0.971,2.502,5.004,1.942,1.03,0.777,153.55436,12.48415,14.2383,1.799015381,8736.405882,8.736405882,1.799015381,8.736405882,5.004,0.5004,1.942,1.03,0.777
2019,A632,1321,8,BWR,3,0.629604,0.812,2.039,1.589,3.269,6.538,3.178,1.23,0.777,123.14082,12.39326,14.24319,10.30093137,1223.576351,1.223576351,10.30093137,1.223576351,6.538,0.6538,3.178,1.23,0.777
2019,A632,1321,9,BWR,1,0.755432,0.053,0.063,2.225,2.518,5.036,4.45,2.455,2.172,207.72545,12.49582,20.74436,21.78390092,976.0219442,0.976021944,21.78390092,0.976021944,5.036,0.5036,4.45,2.455,2.172
2019,A632,1321,9,BWR,2,0.755432,1.13,1.573,2.077,2.726,5.452,4.154,1.153,0.947,119.48387,11.32102,14.86039,19.1833841,637.5137923,0.637513792,19.1833841,0.637513792,5.452,0.5452,4.154,1.153,0.947
2019,A632,1321,10,BWR,1,0.702376,1.048,1.478,2.437,3.016,6.032,4.874,1.538,1.389,172.86229,16.8298,20.51822,34.28370947,516.0811334,0.516081133,34.28370947,0.516081133,6.032,0.6032,4.874,1.538,1.389
2019,A632,1395,4,BWR,1,0.696931,0.925,1.486,1.53,2.251,4.502,3.06,0.765,0.605,116.84515,2.97622,8.86488,6.331981959,1888.759007,1.888759007,6.331981959,1.888759007,4.502,0.4502,3.06,0.765,0.605
2019,A632,1395,6,BWR,1,0.730052,0.044,0.083,2.017,2.718,5.436,4.034,2.635,1.973,192.74651,15.12154,18.13068,17.51689103,1126.250564,1.126250564,17.51689103,1.126250564,5.436,0.5436,4.034,2.635,1.973
2019,W64A,1349,2,BWR,1,0.773231,1.031,1.531,1.897,2.467,4.934,3.794,0.936,0.866,146.00123,15.53055,21.90417,13.22698995,1129.798562,1.129798562,13.22698995,1.129798562,4.934,0.4934,3.794,0.936,0.866
2019,W64A,1349,2,BWR,2,0.773231,0.77,1.13,1.563,2.161,4.322,3.126,1.031,0.793,131.76107,10.15087,13.24623,6.480694993,2080.995099,2.080995099,6.480694993,2.080995099,4.322,0.4322,3.126,1.031,0.793
2019,W64A,1349,5,BWR,1,0.836466,0.925,1.227,2.157,2.415,4.83,4.314,1.188,1.232,215.26487,9.52629,16.65897,19.03520033,1157.50063,1.15750063,19.03520033,1.15750063,4.83,0.483,4.314,1.188,1.232
2019,W64A,1349,5,BWR,3,0.836466,1.184,1.86,1.898,2.778,5.556,3.796,0.918,0.714,227.33066,14.19313,20.38526,14.91800495,1559.742092,1.559742092,14.91800495,1.559742092,5.556,0.5556,3.796,0.918,0.714
2019,W64A,1349,9,BWR,1,0.91619,0.684,1.429,1.411,2.567,5.134,2.822,1.138,0.727,262.62662,14.67207,24.08058,5.66365501,4746.21579,4.74621579,5.66365501,4.74621579,5.134,0.5134,2.822,1.138,0.727
2019,W64A,1349,10,BWR,2,0.687756,0.893,1.484,1.545,2.452,4.904,3.09,0.968,0.652,339.10356,13.58626,23.94702,7.102247433,4886.997056,4.886997056,7.102247433,4.886997056,4.904,0.4904,3.09,0.968,0.652
2019,W64A,1349,10,BWR,3,0.687756,1.243,1.629,2.306,2.536,5.072,4.612,0.907,1.063,287.22734,15.57457,29.8171,24.42401396,1203.688922,1.203688922,24.42401396,1.203688922,5.072,0.5072,4.612,0.907,1.063
2019,W64A,1349,11,BWR,1,0.358269,1.299,1.611,2.24,2.665,5.33,4.48,1.054,0.941,197.57613,13.80272,22.10873,23.52508221,859.6246322,0.859624632,23.52508221,0.859624632,5.33,0.533,4.48,1.054,0.941
2019,W64A,1349,11,BWR,3,0.358269,1.299,1.446,2.37,2.774,5.548,4.74,1.328,1.071,315.12819,15.26823,28.3977,29.00289672,1112.119372,1.112119372,29.00289672,1.112119372,5.548,0.5548,4.74,1.328,1.071
